,State Name
0,Washington
1,Indiana
2,Virginia
3,New York
4,Hawaii
5,Colorado
6,West Virginia
7,North Carolina
8,Massachusetts
9,Montana
10,Pennsylvania
11,Mississippi
12,Missouri
13,Arizona
14,New Jersey
15,Vermont
16,Georgia
17,Rhode Island
18,Minnesota
19,Alaska
20,Delaware
21,South Carolina
22,Oklahoma
23,South Dakota
24,Utah
25,Maine
26,Florida
27,Connecticut
28,Alabama
29,New Hampshire
30,Oregon
31,Idaho
32,Iowa
33,California
34,Illinois
35,North Dakota
36,Texas
37,Nebraska
38,Wyoming
39,Wisconsin
40,Kentucky
41,Michigan
42,Kansas
43,Louisiana
44,Tennessee
45,New Mexico
46,Arkansas
47,Nevada
